"","Negative","No Change","Positive","Node","Region","Climate Driver","Press","Scenario","Net Prediction"
"181",52.62,0,47.38,"POM","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-5.23999999999999
"182",29.26,0,70.74,"Predation risk","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",41.48
"183",53,0,47,"Sea-ice algae","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-6
"184",50.34,0,49.66,"Sea-ice concentration","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.68
"185",50.34,0,49.66,"Sea-ice convergence","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.68
"186",36.6,0,63.4,"Sea-ice thickness","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",26.8
"187",65.38,0,34.62,"Small copepods","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-30.76
"188",53.68,0,46.32,"Small pelagic algae","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-7.36000000000001
"189",0,100,0,"Snow","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",0
"190",100,0,0,"Depth","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"191",0,0,100,"Latitude","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",100
"192",0,100,0,"Autumn primary production","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",0
"193",100,0,0,"Temperature","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"194",0,100,0,"Wind stress","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",0
"195",31,0,69,"Growth","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",38
"196",31,0,69,"Survival","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",38
"197",52.88,0,47.12,"DMS","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-5.76000000000001
"198",0,100,0,"Glacial melt","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"199",100,0,0,"Ice terraces","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"200",69.06,0,30.94,"Large pelagic algae","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-38.12
"201",27.34,0,72.66,"Light","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",45.32
"202",63.66,0,36.34,"Marine snow","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-27.32
"203",100,0,0,"MLD","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"204",50.96,0,49.04,"Nutrients","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-1.92000000000001
"205",54.94,0,45.06,"Other grazers (competition)","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-9.88
"206",29,0,71,"POM","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",42
"207",31,0,69,"Predation risk","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",38
"208",26.48,0,73.52,"Sea-ice algae","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",47.04
"209",0,100,0,"Sea-ice concentration","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"210",100,0,0,"Sea-ice convergence","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"211",100,0,0,"Sea-ice thickness","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"212",41.7,0,58.3,"Small copepods","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",16.6
"213",34.72,0,65.28,"Small pelagic algae","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",30.56
"214",0,100,0,"Snow","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"215",100,0,0,"Depth","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"216",0,0,100,"Latitude","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",100
"217",0,100,0,"Autumn primary production","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"218",0,100,0,"Temperature","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"219",100,0,0,"Wind stress","High-lat shelf","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"220",45.96,0,54.04,"Growth","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",8.08
"221",16.16,0,83.84,"Survival","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",67.68
"222",49.34,0,50.66,"DMS","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",1.32
"223",0,100,0,"Glacial melt","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"224",0,100,0,"Ice terraces","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"225",52.22,0,47.78,"Large pelagic algae","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-4.44
"226",89.78,0,10.22,"Light","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-79.56
"227",69.74,0,30.26,"Marine snow","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-39.48
"228",0,100,0,"MLD","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"229",0,0,100,"Nutrients","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"230",49.68,0,50.32,"Other grazers (competition)","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0.640000000000001
"231",54.68,0,45.32,"POM","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-9.35999999999999
"232",16.16,0,83.84,"Predation risk","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",67.68
"233",51.72,0,48.28,"Sea-ice algae","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-3.44
"234",0,100,0,"Sea-ice concentration","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"235",0,100,0,"Sea-ice convergence","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"236",0,100,0,"Sea-ice thickness","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"237",56.48,0,43.52,"Small copepods","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-12.96
"238",48.76,0,51.24,"Small pelagic algae","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",2.48
"239",0,100,0,"Snow","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"240",100,0,0,"Depth","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-100
"241",0,0,100,"Latitude","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"242",0,0,100,"Autumn primary production","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"243",0,100,0,"Temperature","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"244",0,100,0,"Wind stress","High-lat shelf","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"245",53.4,0,46.6,"Growth","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-6.8
"246",65.4,0,34.6,"Survival","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-30.8
"247",55,0,45,"DMS","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-10
"248",0,0,100,"Glacial melt","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",100
"249",49.66,0,50.34,"Ice terraces","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",0.68
"250",61.92,0,38.08,"Large pelagic algae","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",-23.84
"251",39.64,0,60.36,"Light","High-lat shelf","Temperature","Positive","Future: climate driver sensitivity analysis",20.72
