,From,To,Type,Pair,Class.,Mechanism (with citations),Rationale for Classification,Process,process
12,Growth,Sea-ice algae,N,10,Certain,"Past studies within pack ice habitats have observed larval krill feeding directly on Sea-ice algae (Hamner et al 1989) and it has been identified as a critical diet component (Daly 1990; Ju and Harvey 2004; Kohlbach et al 2017). Provides food source when resources are low in winter (Quetin and Ross, 2009, Flores et al. 2012).",NA,Sea ice,NA
13,Sea-ice algae,Growth,P,10,Certain,"Past studies within pack ice habitats have observed larval and juvenile krill feeding directly on Sea-ice algae (Hamner et al 1989; Marschall 1988, Daly & Macaulay 1991) and it has been identified as a critical diet component (Daly 1990; Ju and Harvey 2004; Kohlbach et al 2017).",NA,Sea ice,NA
14,Predation risk,Survival,N,11,Certain,Predation on krill larvae,NA,Sea ice,Sea ice as refuge
15,Survival,Predation risk,P,11,Certain,Predation on krill larvae,NA,Sea ice,NA
16,Growth,Large pelagic algae,N,12,Certain,"Both adult and larval krill are known herbivores (Meyer et al. 2002, Meyer et al 2017). Larvae feeding on pelagic algae in the water column (Kohlbach et al, 2018; Virtue et al., 2016; Schaafsma et al., 2017; Meyer et al., 2017)",NA,Primary production,NA
17,Large pelagic algae,Growth,P,12,Certain,"Both adult and larval krill are known herbivores (Meyer et al. 2002, Meyer et al 2017). Larvae feeding on pelagic algae in the water column (Kohlbach et al, 2018; Virtue et al., 2016; Schaafsma et al., 2017; Meyer et al., 2017)",NA,Primary production,NA
18,Temperature,Growth,N,13,Certain,"Increasing temperature increases metabolic demand, leaving less energy to invest in growth. Daily growth rates decrease above a temperature optimum of 0.5??C due to thermal stress (Atkinson et al. 2006).",NA,Physiology,NA
19,Sea-ice convergence,Ice terraces,P,14,Certain,"Sea-ice convergence creates ice terraces (a nice reference in the Arctic: Ferna?ndez-Me?ndez M, Olsen LM, Kauko HM, Meyer A, Ro?sel A, Merkouriadi I, Mundy CJ, Ehn JK, Johansson AM, Wagner PM, Ervik A?, Sorrell BK, Duarte P, Wold A, Hop H and Assmy P (2018) Algal Hot Spots in a Changing Arctic Ocean: Sea-Ice Ridges and the Snow-Ice Interface. Front. Mar. Sci. 5:75. doi: 10.3389/fmars.2018.00075)",NA,Sea ice,NA
20,Sea-ice concentration,Sea-ice thickness,P,15,Certain,The presence of sea ice is necessary for ice to thicken.,NA,Sea ice,NA
21,Temperature,Sea-ice thickness,N,16,Certain,Increasing temperature reduces thermodynamic thickening of sea ice,NA,Sea ice,NA
22,Light,Sea-ice algae,P,17,Certain,"Light generally limits algal growth. Increased light therefore has a positive effect on algae (Feng et al., 2010)",NA,Sea ice,NA
23,Latitude,Light,N,18,Certain,Wintertime light increases as latitude decreases,NA,Physical,NA
24,Light,Large pelagic algae,P,19,Certain,"Light generally limits pelagic algal growth. Increased light therefore has a positive effect  (de Baar et al., 2005; Martin, 1990; Martin et al., 1990)",NA,Primary production,NA
25,Depth,Nutrients,N,20,Certain,"Shallow bathymetry can increase sediment inputs into the mixed layer, providing more nutrients (references from observations on the Kerguelen Plateau Blain et al., 2008, Antarctic Peninsula and Weddell sea Jeroen de Jong et al., 2012; from model Wadley et al., 2014)",NA,Primary production,NA
26,Nutrients,Large pelagic algae,P,21,Certain,"All primary productivity in the Southern Ocean is co-limited by light and iron availability (Boyd et al., 2007, de Baar et al., 2005; Martin, 1990; Martin et al., 1990)",NA,Primary production,NA
27,Nutrients,Small pelagic algae,P,22,Certain,"Phytoplankton growth in the Southern Ocean is nutrient (iron) limited (de Baar et al., 2005; Martin, 1990; Martin et al., 1990)",NA,Primary production,NA
28,Growth,Marine snow,N,23,Certain,Larvae may feed opportunistically on detritus/marine snow,"However while detrital diet components have been found, it is uncertain whether these originate from benthos? ",Alternate food,NA
29,Marine snow,Growth,P,23,Certain,Benthic diatoms are more common in Bransfield Strait than other areas. Larvae may feed opportunistically on detritus/marine snow,NA,Alternate food,NA
30,Marine snow,POM,N,24,Certain,Sinking POM becomes marine snow,NA,POM,NA
31,POM,Marine snow,P,24,Certain,Sinking POM becomes marine snow,NA,POM,NA
32,Large pelagic algae,POM,P,25,Certain,Large pelagic algae (living and dead) contributes to POM,NA,POM,NA
33,POM,Large pelagic algae,N,25,Certain,Large pelagic algae (living and dead) contributes to POM,NA,POM,NA
34,Small pelagic algae,POM,P,26,Certain,Large pelagic algae (living and dead) contributes to POM,NA,POM,NA
35,POM,Small pelagic algae,N,26,Certain,Large pelagic algae (living and dead) contributes to POM,NA,POM,NA
36,Depth,Growth,N,27,Certain,"A deeper bathymetry may make the benthos less accessible to larvae, and have a negative interaction with pair 25 (Growth + -> - Marine snow). The net effect is of deeper benthos on growth is therefore negative.",NA,Physical,NA
37,Growth,Survival,P,28,Certain,Positive energy budgets that result in growth also contribute to survival,NA,Physiology,NA
38,Survival,Marine snow,P,29,Certain,More larvae can facilitate increased export of POM to benthos via faecal pellet sinking (Pair 26 POM - -> + Marine snow). The net effect of this interaction on marine snow is positive,NA,POM,NA
39,Sea-ice concentration,Light,N,30,Certain,"Irradiance is limited by extensive ice cover, increased sea ice cover reduces light availability (Arrigo et al., 2008; Smith and Comiso, 2008)",NA,Sea ice,NA
40,Sea-ice concentration,Sea-ice algae,P,31,Certain,"Increased sea ice cover also provides more area of necessary substrate (sea ice) for sea Sea-ice algae to grow (Arrigo et al., 2008; Smith and Comiso, 2008)",NA,Sea ice,NA
41,Light,Small pelagic algae,P,32,Certain,"Light generally limits pelagic algal growth. Increased light therefore has a positive effect (Feng et al., 2010)",NA,Primary production,NA
42,Temperature,Glacial melt,P,33,Certain,"Increased temperatures result in increased glacial meltwater, particularly in coastal regions (Moline et al 2004; Mendez et al 2013)",NA,Glacial melt,NA
43,Glacial melt,Small pelagic algae,P,34,Certain,Glacial meltwater with low surface salinity and shallow MLD linked to cryptophyte communities rather than diatoms (Moline et al 2004; Mendes et al. 2013),NA,Glacial melt,NA
44,Glacial melt,Large pelagic algae,N,35,Certain,Glacial meltwater with low surface salinity and shallow MLD linked to cryptophyte communities rather than diatoms (Moline et al 2004; Mendes et al. 2013),NA,Glacial melt,NA
45,Glacial melt,MLD,N,36,Certain,Glacial meltwater with low surface salinity and shallow MLD linked to cryptophyte communities rather than diatoms (Moline et al 2004; Mendes et al. 2013) ,NA,Glacial melt,NA
46,Autumn primary production,Marine snow,P,37,Uncertain,Unconsumed POM from increased primary production in autumn may have settled to the seafloor ,Has marine snow over winter been directly linked to carbon export from mixed layer from autumn PP? ,Autumn primary production,Autumn primary production
47,Nutrients,Sea-ice algae,P,38,Certain,"Increased nutrients in the water column may travel up brine channels to supply nutrients to Sea-ice algae - all primary productivity in the Southern Ocean is co-limited by light and iron availability (Boyd et al., 2007).",NA,Autumn primary production,NA
48,Glacial melt,Nutrients,P,39,Uncertain,"Glacial melt can increase nutrient inputs, particularly iron, and benefit primary production (e.g. Arrigo et al, 2015)","However, high nutrient concentration in glacial meltwater has also been associated with low chlorophyll-a (Mendes et al. 2013).",Glacial melt,Nutrient availability
49,Autumn primary production,Survival,P,40,Certain,Increased Autumn primary production can increase survival by reducing intraspecific competition and allowing for greater feeding,NA,Autumn primary production,NA
50,Other grazers (competition),Large pelagic algae,N,41,Certain,Grazers other than krill (e.g. salps) also feed on pelagic algae,NA,Primary production,NA
51,Large pelagic algae,Other grazers (competition),P,41,Certain,Grazers other than krill (e.g. salps) also feed on pelagic algae,NA,Primary production,NA
52,Large pelagic algae,DMS,P,42,Certain,Algae releases DMS,The relative size of the feedback between phytoplankton and cloud cover in relation to other controls on phytoplankton growth is unknown,Physical,Light limitation
53,Small pelagic algae,DMS,P,43,Certain,Algae releases DMS,The relative size of the feedback between phytoplankton and cloud cover in relation to other controls on phytoplankton growth is unknown,Physical,Light limitation
54,DMS,Light,N,44,Certain,DMS acts as a nucleating agent for clouds which reduce light,The relative size of the feedback between phytoplankton and cloud cover in relation to other controls on phytoplankton growth is unknown,Physical,Light limitation
55,Glacial melt,Sea-ice concentration,P,45,Certain,"Increased glacial melt would create an input of freshwater to the surface ocean. This freshwater layer is stratified and has a higher freezing point, which may facilitate ice formation.",NA,Sea ice,NA
56,POM,Small copepods,N,46,Uncertain,Small copepods associated with sea ice become POM when they die ,NA,POM,POM
57,Small copepods,POM,P,46,Uncertain,Small copepods associated with sea ice become POM when they die ,NA,POM,POM
58,Ice terraces,POM,N,47,Certain,Ice terraces may facilitate the feeding of larvae on sources of POM by serving as collection surfaces (Meyer et al 2017). This reduces the amount of POM in the water column resulting in a negative interaction,NA,POM,NA
59,Ice terraces,Predation risk,N,48,Uncertain,"Ice terraces may provide refuge from predation, therefore having a negative interaction on Pair 12 (Survival - -> Predation risk). The net effect of this on Predation risk is negative.",NA,Sea ice,Sea ice as refuge
60,Survival,POM,N,49,Certain,More larvae can facilitate increased export of POM to benthos via fecal pellet sinking (Pair 26). The net effect of this interaction on POM is negative,NA,POM,NA
61,Other grazers (competition),Growth,N,50,Certain,"By feeding on larval food sources, other grazers can reduce growth via interspecific competition",NA,Competition,NA
62,MLD,Nutrients,P,51,Certain,An increased MLD can facilitate increased vertical mixing of nutrients (Sverdrup  1953),NA,Primary production,NA
64,Sea-ice convergence,Sea-ice algae,N,52,Certain,"Sea ice grinding from Sea-ice convergence can release Sea-ice algae into the water column, therefore having a negative impact of Sea-ice convergence on Sea-ice algae.",NA,Sea ice,NA
65,Sea-ice convergence,Large pelagic algae,P,53,Certain,"Sea ice grinding from Sea-ice convergence can release Sea-ice algae into the water column, therefore having a positive impact of Sea-ice convergence on pelagic algae (this is still under debate, the study from van Leeuwe et al., 2018 states “The role of sea-Sea-ice algae in seeding pelagic blooms remains uncertain”; “Defining the importance of sea ice in seeding the pelagic community is difficult, and very few dedicated studies are available”;”A microscopic study in the Beaufort Sea by Horner and Schrader (1982) showed that many of the cells released from ice were unhealthy. A brief pulse in pelagic production was recorded, but the bloom did not last long. The fate of sympagic algae might depend on the timing and size of the pulse released (Tedesco et al., 2012; Selz et al., 2017). In two consecutive seasons in the high Arctic, an early and rapid release of sympagic algae initiated a pelagic bloom, yet in another season when the release of sympagic microalgae occurred only towards summer, no such effect was recorded (Galindo et al., 2014). This differ- ence in fate may be related to the physiological state of the cells when they are released from the sea ice.”",NA,Sea ice,NA
66,Temperature,Other grazers (competition),P,54,Certain,Other grazers such as salps may be better adapted to warmer temperatures (Atkinson et al 2004) and increase competition (Loeb et al. 1997),NA,Competition,NA
67,Ice terraces,Growth,P,55,Certain,"Ice terreaces may facilitate increased growth by reducing the need for active swimming, as well as serving as collection surfaces to facilitate larval feeding (Meyer et al 2017).",NA,Sea ice,NA
68,Depth,Marine snow,P,56,Certain,"A deeper bathymetry may make the benthos less accessible to larvae, and have a negative interaction with pair 25 (Marine snow - -> + Growth). The net effect of deeper benthos on marine snow is therefore positive. Deeper bathymetry helps accumulate marine snow from other areas via currents.",NA,Alternate food,NA
69,Other grazers (competition),Small pelagic algae,N,57,Certain,Grazers other than krill (e.g. salps) also feed on Small pelagic algae,NA,Competition,NA
70,Small pelagic algae,Other grazers (competition),P,57,Certain,Grazers other than krill (e.g. salps) also feed on Small pelagic algae,NA,Competition,NA
71,Growth,POM,N,58,Certain,larval growth has also been found to be correlated with POM in the mixed layer rather than ice algal biomass (Meyer et al 2017),NA,POM,NA
72,POM,Growth,P,58,Certain,larval growth has also been found to be correlated with POM in the mixed layer rather than ice algal biomass (Meyer et al 2017),NA,POM,NA
73,Autumn primary production,Sea-ice algae,P,59,Uncertain,Autumn phytoplankton serve as inoculum for sea Sea-ice algae,As far as we know there is no hard evidence for higher autumn PP being linked to higher sea ice algal biomass. There is also perhaps evidence of the contrary (Lannuzel et al 2010),Autumn primary production,Autumn primary production
74,Sea-ice concentration,Sea-ice convergence,P,60,Certain,"The more coverage of sea ice, the more probability that ice floes will interact with each other and result in Sea-ice convergence and ridging.  (Data suggest that rafting is common in early stages of ice development, then once floes get beyond 0.4 - 0.6 m thick, floes are more likely to form ridges than to raft - http://aspect.antarctica.gov.au/home/glossary-and-image-library/rafting - so possibly just want to adapt the wording.) Haven’t found a reference for relationship between Sea-ice concentration and rafting/ridging yet - Sally.",NA,Sea ice,NA
75,Glacial melt,Survival,N,61,Certain,NA,NA,NA,NA
76,Glacial melt,Growth,N,62,Certain,NA,NA,NA,NA
